district_id,state_id,district_name,sites_total,sites_govt,sites_pvt,sessions_total,sessions_govt,sessions_pvt,total_vaccination,male_vaccination,female_vaccination,other_vaccination,18_30_vaccination,30_45_vaccination,45_60_vaccination,60+_vaccination,covishield,covaxin,dose1,dose2,aefi
525,29,Karauli,28,28,0,4890,4890,0,257542,132694,124790,58,,,104865,124186,294114,10651,257542,47223,7
51,4,Karbi-Anglong,45,45,0,6410,6410,0,52966,30009,22951,6,,,26796,8654,56199,10516,52966,13749,2
309,18,Kargil,24,24,0,4702,4702,0,42624,24427,18190,7,,,16065,12062,57198,0,42624,14574,4
69,4,Karimganj,12,12,0,3100,3100,0,81543,44731,36801,11,,,39003,20538,88089,15242,81543,21788,0
589,32,Karimnagar,31,27,4,4000,3400,600,191898,96030,95816,52,,,106122,72329,203531,21288,191898,32921,10
203,12,Karnal,50,42,8,8180,7380,800,268984,141442,127513,29,,,101492,104286,257110,66955,268984,55081,177
559,31,Karur,28,27,1,7720,7700,20,73180,39332,33837,11,,,33129,17174,85086,9533,73180,21439,1
295,17,Kasaragod,10,10,0,1150,1150,0,282619,135687,146900,32,,,138977,120536,340341,24775,282619,82497,52
665,34,Kasganj,28,28,0,7515,7515,0,66074,36169,29894,11,,,30422,28088,74304,11262,66074,19492,3
234,14,Kathua,139,139,0,27400,27400,0,138998,75528,63451,19,,,69014,55952,169437,0,138998,30439,7
75,5,Katihar,21,20,1,6340,6240,100,173470,94577,78872,21,,,61640,53557,212085,0,173470,38615,15
353,20,Katni,23,21,2,2250,2050,200,134607,72776,61815,16,,,64195,49506,146035,9427,134607,20855,0
666,34,Kaushambi,25,25,0,2730,2730,0,75240,41871,33364,5,,,38347,29519,86695,9380,75240,20835,7
135,7,Kawardha,44,43,1,13900,13800,100,128075,62917,65137,21,,,76657,40177,146856,3885,128075,22666,1
461,26,Kendrapara,0,0,0,0,0,0,178176,94680,83479,17,,,79638,90473,215846,0,178176,37670,2
455,26,Kendujhar,3,1,2,460,260,200,201271,105745,95498,28,,,98080,87105,243540,0,201271,42269,2
101,5,Khagaria,37,37,0,7490,7490,0,116396,61873,54510,13,,,36129,50614,139072,0,116396,22676,6
590,32,Khammam,33,30,3,5460,5060,400,118074,63148,54910,16,,,62541,41323,133902,28667,118074,44495,7
339,20,Khandwa,4,4,0,700,700,0,121361,63157,58190,14,,,52251,49071,129943,23434,121361,32016,1
344,20,Khargone,14,14,0,2740,2740,0,144928,77559,67346,23,,,65635,50254,162643,14455,144928,32170,5
156,11,Kheda,155,155,0,20350,20350,0,355011,186352,168619,40,,,161984,136425,349070,131565,355011,125624,10
616,33,Khowai,7,7,0,1100,1100,0,71628,36803,34818,7,,,41822,23061,103128,0,71628,31500,1
252,15,Khunti,57,57,0,6950,6950,0,75236,39132,36096,8,,,28616,23806,69657,18744,75236,13165,5
446,26,Khurda,31,30,1,6860,6760,100,672857,381946,290805,106,,,276027,184536,169199,760433,672857,256775,21
216,13,Kinnaur,2,2,0,260,260,0,27217,13949,13264,4,,,13814,9612,35920,0,27217,8703,11
444,25,Kiphire,8,8,0,1400,1400,0,5169,3550,1619,0,,,1840,1010,7159,0,5169,1990,12
76,5,Kishanganj,18,18,0,3500,3500,0,105619,57150,48454,15,,,40522,35371,132547,0,105619,26928,3
231,14,Kishtwar,46,46,0,6403,6403,0,50367,29888,20467,12,,,25407,17052,62059,0,50367,11692,1
283,16,Kodagu,54,54,0,6755,6755,0,105437,50232,55193,12,,,44353,47061,119756,17453,105437,31772,21
241,15,Koderma,13,12,1,2405,2305,100,76323,36932,39384,7,,,28869,32035,84532,3869,76323,12078,18
441,25,Kohima,23,23,0,3040,3040,0,29772,17409,12361,2,,,12624,6145,38195,0,29772,8423,0
61,4,Kokrajhar,24,24,0,2255,2255,0,66883,38039,28835,9,,,32328,13671,75893,9965,66883,18975,2
277,16,Kolar,187,187,0,62050,62050,0,255945,131220,124698,27,,,106571,90220,275659,44641,255945,64355,22
428,24,Kolasib,2,2,0,900,900,0,17973,9110,8862,1,,,8872,6079,22263,0,17973,4290,8
371,21,Kolhapur,339,320,19,112150,110250,1900,942668,471904,470613,151,,,437146,405514,1089834,73214,942668,220380,58
725,36,Kolkata,159,121,38,79610,51320,28290,1248822,707735,540890,197,,,569170,471853,1491213,255459,1248822,497850,111
