district_id,state_id,district_name,sites_total,sites_govt,sites_pvt,sessions_total,sessions_govt,sessions_pvt,total_vaccination,male_vaccination,female_vaccination,other_vaccination,18_45_vaccination,45_60_vaccination,60+_vaccination,covishield,covaxin,dose1,dose2,aefi
398,22,Bishnupur,9,9,0,1080,1080,0,35074,18710,16355,9,10556,14540,9958,39327,0,35074,4253,7
714,36,Bishnupur HD (Bankura),40,40,0,27400,27400,0,118904,72372,46526,6,37587,45784,35487,145358,18383,118904,44837,7
765,4,Biswanath,14,14,0,2060,2060,0,77622,41491,36115,16,19538,40740,17341,83804,10139,77622,16321,0
242,15,Bokaro,44,42,2,7765,7265,500,215153,123170,91963,20,62313,85046,67737,235606,32918,215153,53371,26
57,4,Bongaigaon,14,14,0,3485,3485,0,83661,44584,39065,12,24859,36040,22758,96492,10765,83661,23596,1
176,11,Botad,34,34,0,7900,7900,0,79029,41988,37033,8,15596,31486,31940,83907,24170,79029,29048,2
468,26,Boudh,12,12,0,2300,2300,0,56392,31223,25163,6,5202,22794,28396,67242,0,56392,10850,3
229,14,Budgam,101,101,0,14160,14160,0,195075,117057,77997,21,47525,93787,53751,225069,0,195075,29994,0
640,34,Bulandshahr,137,137,0,44599,44599,0,305952,167990,137922,40,34710,171073,100093,334047,47770,305952,75865,26
367,21,Buldhana,74,73,1,20920,20820,100,364138,194171,169907,60,54015,154631,155441,365813,97592,364138,99267,0
514,29,Bundi,25,25,0,1362,1362,0,283720,142839,140810,71,39274,125066,119280,351514,11664,283720,79458,2
342,20,Burhanpur,22,22,0,3130,3130,0,116244,61039,55179,26,35566,44817,35760,109183,33497,116244,26436,7
100,5,Buxar,48,48,0,8295,8295,0,152709,85365,67319,25,37807,51140,63734,184174,0,152709,31465,3
66,4,Cachar,55,55,0,41120,41120,0,154559,82058,72492,9,49386,68755,36407,146271,44520,154559,36232,2
141,9,Central Delhi,109,92,17,23172,12402,10770,483240,285481,197691,68,207242,179600,96080,432259,190594,483240,139613,118
271,16,Chamarajanagar,123,121,2,22843,21220,1623,189351,91845,97450,56,31892,77182,80230,187619,37961,189351,36229,4
214,13,Chamba,39,39,0,8400,8400,0,136925,67968,68935,22,19390,70289,47234,161066,0,136925,24141,27
699,35,Chamoli,37,37,0,2781,2781,0,121663,60063,61563,37,27582,52364,41694,157571,2348,121663,38256,8
708,35,Champawat,23,23,0,3100,3100,0,81842,41187,40630,25,24174,32532,25128,98923,2404,81842,19485,4
429,24,Champhai,1,1,0,1200,1200,0,29140,14842,14294,4,3637,14930,10571,33697,0,29140,4557,144
641,34,Chandauli,59,59,0,14400,14400,0,124153,69723,54409,21,18260,58280,47577,140359,10219,124153,26425,7
399,22,Chandel,3,3,0,400,400,0,11207,7040,4167,0,5854,3750,1603,15346,0,11207,4139,1
108,6,Chandigarh,61,51,10,15310,9060,6250,307523,173010,134469,44,107272,122459,77673,382750,0,307523,75227,137
380,21,Chandrapur,199,199,0,36470,36470,0,324577,174185,150357,35,56430,151243,116822,369395,25300,324577,70118,3
20,3,Changlang,10,10,0,3470,3470,0,27558,15819,11736,3,11522,11372,4661,32107,0,27558,4549,19
766,4,Charaideo,8,8,0,730,730,0,49856,27404,22441,11,12312,26699,10844,53717,5578,49856,9439,0
201,12,Charkhi Dadri,18,18,0,5320,5320,0,131873,67824,64019,30,32118,47569,52139,126474,28669,131873,23270,0
245,15,Chatra,45,45,0,4600,4600,0,105688,56843,48831,14,26942,36166,42575,119601,589,105688,14502,3
565,31,Chengalpet,31,27,4,8530,4930,3600,332968,182595,150337,36,119781,113504,99254,358026,60399,332968,85457,3
571,31,Chennai,179,132,47,140185,111733,28452,1664294,916230,747874,190,581243,595755,487040,1658838,576695,1664294,571239,40
778,31,Cheyyar,25,25,0,4200,4200,0,53297,30272,23020,5,24602,17049,11636,52337,12867,53297,11907,0
328,20,Chhatarpur,37,37,0,5551,5551,0,200376,115948,84396,32,56019,73415,70847,190513,36830,200376,26967,15
337,20,Chhindwara,57,57,0,10458,10458,0,243203,134183,108971,49,80054,93240,69802,247665,50120,243203,54582,5
181,11,Chhotaudepur,40,40,0,7878,7878,0,181885,94147,87707,31,18351,89295,74233,143266,104556,181885,65937,1
273,16,Chikamagalur,164,164,0,21880,21880,0,243496,120693,122784,19,31487,113985,97976,271405,27943,243496,55852,21
291,16,Chikkaballapur,102,102,0,13310,13310,0,263335,132663,130641,31,40156,122724,100433,286933,30885,263335,54483,50
58,4,Chirang,21,21,0,2030,2030,0,42474,24842,17629,3,14615,19547,8312,44931,10308,42474,12765,1
268,16,Chitradurga,108,108,0,29655,29655,0,323049,160636,162338,75,38067,161155,123782,360820,45826,323049,83597,10
642,34,Chitrakoot,58,58,0,5350,5350,0,57953,34130,23814,9,10229,24746,22940,63096,5749,57953,10892,3
10,2,Chittoor,134,131,3,56640,56280,360,746396,369650,376653,93,110676,377091,258492,814591,164541,746396,232736,81
521,29,Chittorgarh,47,45,2,10927,9327,1600,334728,172273,162412,43,52508,139400,142716,388101,19390,334728,72763,12
400,22,Churachandpur,8,8,0,1700,1700,0,38287,20616,17665,6,17884,12900,7488,44994,0,38287,6707,4
530,29,Churu,81,81,0,12650,12650,0,389939,197115,192767,57,58399,165379,166114,461783,13036,389939,84880,7
539,31,Coimbatore,50,42,8,13015,8325,4690,543760,303558,240144,58,156876,214627,172091,573852,96882,543760,126974,7
715,36,Cooch Behar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,36,COOCHBEHAR,34,34,0,10200,10200,0,303351,176233,127072,46,83472,107566,112281,352643,37536,303351,86828,0
547,31,Cuddalore,16,16,0,4440,4440,0,182264,108227,74014,23,57588,78490,46165,193693,41598,182264,53027,3
457,26,Cuttack,100,84,16,25843,21743,4100,555201,311191,243850,160,173814,214169,166925,654819,0,555201,99618,5
137,8,Dadra and Nagar Haveli,63,62,1,10920,10820,100,93250,63317,29917,16,57904,27165,8166,105236,0,93250,11986,84
182,11,Dahod,36,36,0,9936,9936,0,367767,184193,183510,64,39656,163094,164951,471399,57801,367767,161433,3
716,36,Dakshin Dinajpur,37,37,0,8811,8811,0,238416,127727,110648,41,65201,98335,74842,271992,50457,238416,84033,4
269,16,Dakshina Kannada,72,55,17,13680,9666,4014,394093,190433,203605,55,105474,151428,136737,445112,73339,394093,124358,1188
138,37,Daman,6,6,0,2840,2840,0,82092,53407,28672,13,52611,21715,7687,90659,0,82092,8567,2
327,20,Damoh,29,29,0,6280,6280,0,127000,70817,56168,15,43288,43932,39709,132344,15151,127000,20495,15
163,11,Dang,9,9,0,1800,1800,0,37954,19654,18297,3,6948,18767,12237,46948,544,37954,9538,5
117,7,Dantewada,22,22,0,2740,2740,0,70205,34668,35523,14,13668,42676,13858,88233,6783,70205,24811,17
94,5,Darbhanga,96,96,0,14610,14610,0,387216,205676,181483,57,106285,129222,151630,438158,27249,387216,78191,5
717,36,Darjeeling,65,59,6,21620,18370,3250,342147,182554,159432,161,101165,139951,100946,385384,73995,342147,117232,67
48,4,Darrang,12,12,0,3060,3060,0,95374,52765,42594,15,24469,46592,24311,106862,11769,95374,23257,16
350,20,Datia,49,49,0,7340,7340,0,110865,61167,49664,34,33747,34500,42605,102735,25653,110865,17523,4
511,29,Dausa,66,66,0,17350,17350,0,282911,149723,133153,35,46213,113334,123153,311198,27149,282911,55436,11
275,16,Davanagere,75,72,3,13345,12595,750,280877,145706,135128,43,44318,132649,103876,308720,39134,280877,66977,32
697,35,Dehradun,109,97,12,16434,10544,5890,500415,263333,237005,77,118960,208590,172688,618980,38229,500415,156794,131
473,26,Deogarh,14,14,0,2210,2210,0,42444,23461,18981,2,6161,19011,17266,51892,0,42444,9448,6
253,15,Deoghar,56,56,0,11573,11573,0,156262,90383,65842,37,59592,58978,37565,161743,28034,156262,33515,2
643,34,Deoria,127,127,0,19310,19310,0,201007,112655,88312,40,21663,88415,90891,231168,20354,201007,50515,4
168,11,Devbhumi Dwaraka,25,25,0,5400,5400,0,136646,73880,62746,20,27695,60847,48081,140566,59537,136646,63457,5
324,20,Dewas,5,3,2,1471,821,650,213687,120960,92693,34,80176,74600,58746,223335,28910,213687,38558,4
614,33,Dhalai,25,25,0,7050,7050,0,96110,51564,44530,16,11750,51703,32656,141528,0,96110,45418,3
118,7,Dhamtari,44,44,0,5200,5200,0,178573,84361,94189,23,10416,100466,67689,217291,4516,178573,43234,11
257,15,Dhanbad,86,85,1,17350,17050,300,307477,172699,134741,37,74966,134101,98364,307862,65386,307477,65771,45
341,20,Dhar,55,54,1,17560,16910,650,247846,136965,110831,50,102416,86011,59226,262384,29852,247846,44390,2
566,31,Dharmapuri,19,19,0,3980,3980,0,123028,69258,53753,17,49629,47936,25421,130456,20639,123028,28067,7
278,16,Dharwad,114,113,1,16328,16208,120,292667,150957,141664,46,62801,117505,112302,342589,22147,292667,72069,10
62,4,Dhemaji,12,12,0,1230,1230,0,86433,43705,42712,16,21371,42753,22307,93939,11268,86433,18774,1
458,26,Dhenkanal,44,44,0,8040,8040,0,157466,86442,71005,19,11301,74919,71216,182603,0,157466,25137,0
524,29,Dholpur,16,16,0,1882,1882,0,247866,132455,115374,37,53504,92165,102188,285844,19116,247866,57094,7
59,4,Dhubri,19,19,0,1820,1820,0,98186,53972,44202,12,23040,45911,29234,119094,8471,98186,29379,2
388,21,Dhule,57,57,0,7235,7235,0,272165,145005,127107,53,51282,124298,96514,271546,71586,272165,70967,0
718,36,Diamond Harbor HD (S 24 Parganas),98,98,0,18095,18095,0,407323,221436,185836,51,87797,163469,155995,502338,45021,407323,140036,24
25,3,Dibang Valley,1,1,0,200,200,0,1937,1145,792,0,1061,624,252,2814,0,1937,877,0
